date,hour,expiry,strike_price,close
2023-10-23,5,2023-10-27,210.0,6.4
2023-10-23,5,2023-10-27,190.0,23.2
2023-10-23,5,2023-10-27,200.0,17.7
2023-10-23,5,2023-10-27,230.0,1.2
2023-10-23,5,2023-10-27,220.0,3.5
2023-10-23,5,2023-10-27,215.0,7.8
2023-10-23,5,2023-10-27,195.0,21.4
2023-10-23,5,2023-10-27,205.0,11.9
2023-10-23,4,2023-10-27,215.0,6.8
2023-10-23,4,2023-10-27,200.0,17.7
2023-10-23,4,2023-10-27,190.0,23.2
2023-10-23,4,2023-10-27,205.0,11.9
2023-10-23,4,2023-10-27,220.0,3.5
2023-10-23,4,2023-10-27,180.0,33.4
2023-10-23,4,2023-10-27,225.0,1.7
2023-10-23,4,2023-10-27,195.0,21.4
2023-10-23,4,2023-10-27,230.0,1.2
2023-10-23,4,2023-10-27,210.0,6.4
2023-10-23,3,2023-10-27,215.0,6.7
2023-10-23,3,2023-10-27,220.0,3.5
2023-10-23,3,2023-10-27,210.0,6.4
2023-10-23,3,2023-10-27,205.0,11.9
2023-10-23,3,2023-10-27,200.0,17.7
2023-10-23,3,2023-10-27,225.0,1.9
2023-10-23,3,2023-10-27,190.0,23.2
2023-10-23,3,2023-10-27,195.0,21.4
2023-10-23,3,2023-10-27,230.0,1.2
2023-10-23,3,2023-10-27,180.0,33.4
2023-10-23,2,2023-10-27,190.0,23.2
2023-10-23,2,2023-10-27,205.0,11.9
2023-10-23,2,2023-10-27,225.0,1.9
2023-10-23,2,2023-10-27,220.0,2.7
2023-10-23,2,2023-10-27,195.0,21.4
2023-10-23,2,2023-10-27,230.0,0.7
2023-10-23,2,2023-10-27,210.0,6.4
2023-10-23,2,2023-10-27,215.0,5.6
2023-10-23,2,2023-10-27,180.0,33.4
2023-10-23,2,2023-10-27,200.0,17.7
2023-10-23,1,2023-10-27,200.0,17.7
2023-10-23,1,2023-10-27,190.0,23.2
2023-10-23,1,2023-10-27,215.0,3.5
2023-10-23,1,2023-10-27,220.0,2.7
2023-10-23,1,2023-10-27,180.0,33.4
2023-10-23,1,2023-10-27,225.0,1.8
2023-10-23,1,2023-10-27,195.0,21.4
2023-10-23,1,2023-10-27,210.0,6.4
2023-10-23,1,2023-10-27,205.0,11.9
2023-10-23,1,2023-10-27,230.0,0.7
2023-10-23,0,2023-10-27,180.0,33.4
2023-10-23,0,2023-10-27,205.0,11.9
2023-10-23,0,2023-10-27,195.0,21.4
2023-10-23,0,2023-10-27,225.0,1.8
2023-10-23,0,2023-10-27,215.0,3.5
2023-10-23,0,2023-10-27,200.0,17.7
2023-10-23,0,2023-10-27,190.0,23.2
2023-10-23,0,2023-10-27,210.0,6.4
2023-10-23,0,2023-10-27,230.0,0.7
2023-10-23,0,2023-10-27,220.0,2.7
