Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,01-Jan-2025,27-Feb-2025,CE,1340.00,9.10,10.00,9.00,10.00,10.00,10.00,30.00,202.40,1.40,83000.00,4000.00,1221.25
RELIANCE,01-Jan-2025,27-Feb-2025,CE,1020.00,-,-,-,271.30,-,212.45,-,-,-,-,-,1221.25
RELIANCE,01-Jan-2025,27-Feb-2025,CE,1040.00,-,-,-,252.60,-,193.10,-,-,-,-,-,1221.25
RELIANCE,01-Jan-2025,27-Feb-2025,CE,1210.00,55.10,55.10,55.10,55.10,55.10,55.40,1.00,6.33,0.28,-,-500.00,1221.25
RELIANCE,01-Jan-2025,27-Feb-2025,CE,1220.00,46.10,51.25,45.50,49.50,49.65,49.50,87.00,551.70,21.00,58500.00,7500.00,1221.25
RELIANCE,01-Jan-2025,27-Feb-2025,CE,1060.00,-,-,-,234.25,-,174.05,-,-,-,-,-,1221.25
RELIANCE,01-Jan-2025,27-Feb-2025,CE,1080.00,-,-,-,216.25,-,155.40,-,-,-,-,-,1221.25
RELIANCE,01-Jan-2025,27-Feb-2025,CE,1360.00,7.05,7.60,6.60,7.40,7.40,7.40,76.00,519.52,2.72,100500.00,19000.00,1221.25
RELIANCE,01-Jan-2025,27-Feb-2025,CE,1090.00,-,-,-,148.30,-,146.25,-,-,-,-,-,1221.25
RELIANCE,01-Jan-2025,27-Feb-2025,CE,1230.00,41.80,45.50,41.55,45.50,45.50,44.80,12.00,76.40,2.60,6500.00,2000.00,1221.25
RELIANCE,01-Jan-2025,27-Feb-2025,CE,1380.00,-,-,-,34.80,-,5.50,-,-,-,-,-,1221.25
RELIANCE,01-Jan-2025,27-Feb-2025,CE,1100.00,-,-,-,135.00,135.00,137.30,-,-,-,1000.00,-,1221.25
RELIANCE,01-Jan-2025,27-Feb-2025,CE,1240.00,36.30,40.00,35.40,38.50,38.50,38.50,35.00,223.69,6.69,56500.00,4000.00,1221.25
RELIANCE,01-Jan-2025,27-Feb-2025,CE,1110.00,-,-,-,131.75,-,128.50,-,-,-,-,-,1221.25
RELIANCE,01-Jan-2025,27-Feb-2025,CE,1250.00,31.75,35.00,31.75,34.25,34.50,34.25,59.00,378.50,9.75,219500.00,4000.00,1221.25
RELIANCE,01-Jan-2025,27-Feb-2025,CE,1120.00,-,-,-,170.00,170.00,119.90,-,-,-,500.00,-,1221.25
RELIANCE,01-Jan-2025,27-Feb-2025,CE,1260.00,28.10,30.10,27.55,29.55,29.55,29.55,36.00,232.01,5.21,129500.00,-5500.00,1221.25
RELIANCE,01-Jan-2025,27-Feb-2025,CE,1400.00,4.70,4.95,4.35,4.80,4.70,4.80,448.00,3146.46,10.46,908500.00,72500.00,1221.25
RELIANCE,01-Jan-2025,27-Feb-2025,CE,1130.00,-,-,-,116.05,-,111.55,-,-,-,-,-,1221.25
RELIANCE,01-Jan-2025,27-Feb-2025,CE,1270.00,25.60,25.60,25.60,25.60,25.60,27.95,1.00,6.48,0.13,1500.00,500.00,1221.25
RELIANCE,01-Jan-2025,27-Feb-2025,CE,1420.00,-,-,-,24.90,-,2.70,-,-,-,-,-,1221.25
RELIANCE,01-Jan-2025,27-Feb-2025,CE,1140.00,-,-,-,165.40,-,103.45,-,-,-,-,-,1221.25
RELIANCE,01-Jan-2025,27-Feb-2025,CE,1280.00,22.00,23.70,21.05,23.35,23.70,23.35,29.00,188.86,3.26,58000.00,9000.00,1221.25
